ID,¿En que Ciudad o Municipio resides?,¿Qué edad tienes?,¿Comparas precios al momento de realizar una compra?,¿Cuántas opciones revisas?,¿Realizas compras por internet y-o plataformas digitales?,Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia,¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,¿ A través de que dispositivos realizas las compras por internet?
82,Atlantico,36,Si,2 a 4,Si,Distancia - Tiempo de Domicilio-Precio-Calidad-,Servicios a domicilio a través de plataforma digital,Precio,Smartphone
83,Barranquilla,25,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Computador de mesa 
85,Malambo,27,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
86,Barranquilla,30,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
87,Galapa ,20,No,,Si,Distancia - Tiempo de Domicilio-Calidad-Precio-,Servicios a domicilio a través de llamada telefónica ,,Smartphone
88,Bogotá,23,Si,2 a 4,Si,Precio-Distancia - Tiempo de Domicilio-Calidad-,Servicios a domicilio a través de plataforma digital,Precio,Portatil
89,Soledad ,27,Si,1,Si,Calidad-Distancia - Tiempo de Domicilio-Precio-,Servicios a domicilio a través de llamada telefónica ,,Smartphone
90,Popayan,26,Si,2 a 4,Si,Calidad-Distancia - Tiempo de Domicilio-Precio-,Presencial en el punto de venta,,Smartphone
91,Popayan,25,Si,8 o más ,Si,Precio-Distancia - Tiempo de Domicilio-Calidad-,Presencial en el punto de venta,,Smartphone
92,Popayán,22,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
93,Palmira,24,Si,2 a 4,Si,Precio-Distancia - Tiempo de Domicilio-Calidad-,Presencial en el punto de venta,,Smartphone
94,Popayán ,25,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
95,Santa Marta ,20,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Portatil
96,Popayán,25,Si,1,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
97,Barranquilla,68,Si,2 a 4,Si,Distancia - Tiempo de Domicilio-Calidad-Precio-,Servicios a domicilio a través de llamada telefónica ,,Computador de mesa 
99,Galapa,21,Si,4 a 8,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
100,Barranquilla,28,Si,4 a 8,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de plataforma digital,Distancia - tiempo del domicilio ,Smartphone
101,Bogota,47,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de plataforma digital,Precio,Smartphone
102,Estado de México ,23,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Smartphone
103,Bogotá,17,Si,2 a 4,Si,Distancia - Tiempo de Domicilio-Calidad-Precio-,Servicios a domicilio a través de plataforma digital,Precio,Smartphone
104,Tunja,44,Si,4 a 8,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Computador de mesa 
105,Bogota,29,Si,1,Si,Precio-Distancia - Tiempo de Domicilio-Calidad-,Servicios a domicilio a través de plataforma digital,Precio,Portatil
106,Bogotá,31,Si,2 a 4,Si,Precio-Distancia - Tiempo de Domicilio-Calidad-,Presencial en el punto de venta,,Computador de mesa 
79,Galapa,20,Si,2 a 4,No,,Presencial en el punto de venta,,Smartphone
84,Barranquilla,26,Si,2 a 4,No,,Servicios a domicilio a través de llamada telefónica ,,Smartphone
98,Popayán,23,Si,2 a 4,No,,Presencial en el punto de venta,,Portatil
