ID,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,Total de puntos,Comentarios del cuestionario,¿En que Ciudad o Municipio resides?,Puntos: ¿En que Ciudad o Municipio resides?,Comentarios: ¿En que Ciudad o Municipio resides?,¿Qué edad tienes?,Puntos: ¿Qué edad tienes?,Comentarios: ¿Qué edad tienes?,Sexo,Puntos: Sexo,Comentarios: Sexo,¿Comparas precios al momento de realizar una compra?,Puntos: ¿Comparas precios al momento de realizar una compra?,Comentarios: ¿Comparas precios al momento de realizar una compra?,¿Cuántas opciones revisas?,Puntos: ¿Cuántas opciones revisas?,Comentarios: ¿Cuántas opciones revisas?,¿Realizas compras por internet y/o plataformas digitales?,Puntos: ¿Realizas compras por internet y/o plataformas digitales?,Comentarios: ¿Realizas compras por internet y/o plataformas digitales?,¿ Cuales son las razones ?,Puntos: ¿ Cuales son las razones ?,Comentarios: ¿ Cuales son las razones ?,Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Puntos: Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Comentarios: Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia.,Puntos: Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia.,Comentarios: Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia.,¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,Puntos: ¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,Comentarios: ¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,¿ A través de que dispositivos realizas las compras por internet?,Puntos: ¿ A través de que dispositivos realizas las compras por internet?,Comentarios: ¿ A través de que dispositivos realizas las compras por internet?
85,5/22/21 8:44:02,5/22/21 8:45:54,anonymous,,,,Malambo,,,27,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
86,5/22/21 8:47:35,5/22/21 8:48:41,anonymous,,,,Barranquilla,,,30,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
87,5/22/21 9:13:10,5/22/21 9:16:12,anonymous,,,,Galapa ,,,20,,,,,,No,,,,,,Si,,,,,,Distancia / Tiempo de Domicilio.;Calidad;Precio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
88,5/22/21 9:40:47,5/22/21 9:42:31,anonymous,,,,Bogotá,,,23,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Distancia / Tiempo de Domicilio.;Calidad;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Portatil.,,
89,5/22/21 10:20:25,5/22/21 10:21:44,anonymous,,,,Soledad ,,,27,,,,,,Si,,,1,,,Si,,,,,,Calidad;Distancia / Tiempo de Domicilio.;Precio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
90,5/22/21 11:43:07,5/22/21 11:43:52,anonymous,,,,Popayan,,,26,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Distancia / Tiempo de Domicilio.;Precio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
91,5/22/21 11:46:35,5/22/21 11:47:51,anonymous,,,,Popayan,,,25,,,,,,Si,,,8 o más ,,,Si,,,,,,Precio.;Distancia / Tiempo de Domicilio.;Calidad;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
92,5/22/21 11:46:58,5/22/21 11:48:04,anonymous,,,,Popayán,,,22,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
93,5/22/21 11:47:43,5/22/21 11:49:06,anonymous,,,,Palmira,,,24,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Distancia / Tiempo de Domicilio.;Calidad;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
94,5/22/21 12:11:26,5/22/21 12:12:14,anonymous,,,,Popayán ,,,25,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
95,5/22/21 12:26:02,5/22/21 12:27:07,anonymous,,,,Santa Marta ,,,20,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Portatil.,,
96,5/22/21 12:40:13,5/22/21 12:41:12,anonymous,,,,Popayán,,,25,,,,,,Si,,,1,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
97,5/22/21 12:51:06,5/22/21 12:53:15,anonymous,,,,Barranquilla,,,68,,,,,,Si,,,2 a 4,,,Si,,,,,,Distancia / Tiempo de Domicilio.;Calidad;Precio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Computador de mesa. ,,
99,5/22/21 16:38:31,5/22/21 16:39:32,anonymous,,,,Galapa,,,21,,,,,,Si,,,4 a 8,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
100,6/1/21 21:10:26,6/1/21 21:11:01,anonymous,,,,Barranquilla,,,28,,,,,,Si,,,4 a 8,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Distancia / tiempo del domicilio ,,,Smartphone.,,
101,6/1/21 21:28:17,6/1/21 21:30:09,anonymous,,,,Bogota,,,47,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Smartphone.,,
102,6/1/21 22:17:32,6/1/21 22:19:04,anonymous,,,,Estado de México ,,,23,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
103,6/1/21 22:46:40,6/1/21 22:47:57,anonymous,,,,Bogotá,,,17,,,,,,Si,,,2 a 4,,,Si,,,,,,Distancia / Tiempo de Domicilio.;Calidad;Precio.;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Smartphone.,,
104,6/2/21 6:30:17,6/2/21 6:32:11,anonymous,,,,Tunja,,,44,,,,,,Si,,,4 a 8,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Computador de mesa. ,,
105,6/2/21 8:25:06,6/2/21 8:26:40,anonymous,,,,Bogota,,,29,,,,,,Si,,,1,,,Si,,,,,,Precio.;Distancia / Tiempo de Domicilio.;Calidad;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Portatil.,,
106,6/2/21 17:29:59,6/2/21 17:32:03,anonymous,,,,Bogotá,,,31,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Distancia / Tiempo de Domicilio.;Calidad;,,,Presencial en el punto de venta.,,,,,,Computador de mesa. ,,
79,5/21/21 21:16:55,5/21/21 21:17:53,anonymous,,,,Galapa,,,20,,,,,,Si,,,2 a 4,,,No,,,Miedo a suministrar los datos financieros.;Desconfianza a proporcionar sus datos personales. ;,,,,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
84,5/22/21 8:35:34,5/22/21 8:36:38,anonymous,,,,Barranquilla,,,26,,,,,,Si,,,2 a 4,,,No,,,Desconfianza a proporcionar sus datos personales. ;,,,,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
98,5/22/21 14:46:19,5/22/21 14:47:02,anonymous,,,,Popayán,,,23,,,,,,Si,,,2 a 4,,,No,,,Desconfianza a proporcionar sus datos personales. ;,,,,,,Presencial en el punto de venta.,,,,,,Portatil.,,
